target,entropy,surprisal
Year,0.1239,0
Old,0.0681,0
Bottle,0.0291,0
Message,0.09,0
Angela,0.0545,0
Erdmann,0.5333,0
never,0.0477,0
knew,0.0153,0
her,0.0151,0
grandfather,0.3339,0
He,0.0664,0
died,0.003,0
in,0.5264,0
six,0.0156,0
years,0.0251,0
before,0.0149,0
she,0.0029,0
was,0.0057,0
born,0.0171,0
But,0.0393,0
on,0.2282,0
Tuesday,0.3112,0
April,0.0595,0
described,0.0286,0
the,0.005,0
extraordinary,0.8764,0
moment,0.0179,0
when,0.0073,0
received,0.0109,0
a,1.1949,0
message,0.0378,0
bottle,0.0137,0
after,0.0082,0
he,0.2817,0
had,0.0122,0
lobbed,0.0181,0
it,0.0089,0
into,0.0241,0
Baltic,0.0556,0
Sea,0.1749,0
Thought,0.0955,0
to,0.012,0
be,0.0084,0
world,0.0578,0
s,0.0283,0
oldest,0.0093,0
presented,0.0269,0
by,0.0116,0
museum,0.097,0
that,0.0034,0
is,0.0262,0
now,0.0085,0
exhibiting,0.0638,0
Germany,0.1164,0
It,2.0363,0
very,0.6683,0
surprising,0.0479,0
said,0.0022,0
recalling,0.0176,0
how,0.0098,0
found,0.0022,0
out,0.0096,0
about,0.012,0
A,0.3063,0
man,0.0193,0
stood,0.0104,0
at,0.0187,0
my,0.0294,0
door,0.0046,0
and,0.0058,0
told,0.0087,0
me,0.0203,0
post,0.0231,0
from,0.0141,0
then,0.0077,0
been,0.0156,0
name,0.0177,0
card,0.003,0
of,0.0084,0
Her,0.0638,0
visitor,0.0125,0
genealogical,0.3978,0
researcher,0.046,0
who,0.0081,0
managed,0.0292,0
track,0.0067,0
down,0.01,0
Berlin,0.0418,0
letter,0.0174,0
given,0.014,0
International,0.6378,0
Maritime,0.0783,0
Museum,0.1482,0
northern,0.0579,0
port,0.0307,0
city,0.0074,0
Hamburg,0.7807,0
The,1.6579,0
brown,0.013,0
beer,0.0177,0
which,0.0046,0
water,0.0044,0
for,0.0049,0
catch,0.0273,0
Konrad,0.1888,0
Fischer,0.7903,0
fisherman,0.1048,0
off,0.5316,0
Kiel,0.2564,0
Holger,1.374,0
von,0.3276,0
Neuhoff,0.2979,0
curator,0.0055,0
ocean,0.0112,0
science,0.0164,0
this,0.0022,0
bottled,0.0149,0
come,0.0104,0
across,0.0214,0
There,0.2319,0
are,0.0105,0
documents,0.0366,0
have,0.0131,0
without,0.0076,0
older,0.0081,0
with,0.0091,0
document,0.019,0
certainly,0.7435,0
extremely,0.0554,0
good,0.0339,0
condition,0.0137,0
Researchers,0.7001,0
believe,0.0237,0
Richard,0.7684,0
Platz,0.2001,0
threw,0.0068,0
sea,0.0185,0
while,0.0087,0
hike,0.0117,0
nature,0.0136,0
appreciation,0.0228,0
group,0.0165,0
old,0.0199,0
time,0.0095,0
Much,0.0888,0
postcard,0.0186,0
indecipherable,1.1013,0
although,0.0364,0
address,0.1021,0
front,0.0513,0
legible,0.0357,0
as,0.0095,0
author,0.0127,0
polite,0.0146,0
request,0.0215,0
note,0.0393,0
sent,0.0071,0
finder,0.0067,0
his,0.0287,0
home,0.0149,0
also,0.017,0
included,0.0139,0
two,0.0338,0
stamps,0.0098,0
were,0.0046,0
so,0.0265,0
would,0.0032,0
not,0.018,0
incur,0.004,0
cost,0.0049,0
did,0.0016,0
think,0.0046,0
take,0.0031,0
She,0.1192,0
moved,0.0229,0
arrival,0.0101,0
known,0.0428,0
because,0.0211,0
age,0.3195,0
I,1.9743,0
little,0.0408,0
but,0.0098,0
writer,0.0092,0
open,0.0131,0
minded,0.0104,0
believed,0.0409,0
freedom,0.014,0
everyone,0.1365,0
should,0.0063,0
respect,0.0063,0
each,0.0149,0
other,0.0069,0
lot,1.1448,0
young,0.825,0
later,0.0234,0
traveled,0.0297,0
wife,0.0113,0
daughters,0.0258,0
wonderful,0.0121,0
could,0.0032,0
see,0.0092,0
where,0.0184,0
roots,0.0038,0
came,0.0158,0
Like,0.2284,0
liked,0.0089,0
culture,0.0031,0
traveling,0.0621,0
around,0.0205,0
herself,0.0262,0
too,0.027,0
What,0.0619,0
taught,0.0888,0
mother,0.0085,0
sons,0.015,0
Despite,0.1173,0
joy,0.0077,0
receiving,0.009,0
hoped,0.0088,0
others,0.0081,0
repeat,0.008,0
what,0.004,0
done,0.1282,0
throw,0.0038,0
bottles,0.0219,0
messages,0.055,0
Today,0.0747,0
full,0.0071,0
many,0.0066,0
rubbish,0.0156,0
more,0.0047,0
shouldn,0.0362,0
t,0.0635,0
thrown,0.0236,0
there,0.0153,0
will,0.0089,0
display,0.0054,0
until,0.0061,0
beginning,0.3063,0
May,0.0991,0
experts,0.0172,0
attempt,0.0162,0
decipher,0.0432,0
rest,0.0043,0
text,0.0191,0
clear,0.0066,0
happen,0.0199,0
hopes,0.0123,0
stay,0.0032,0
We,0.1878,0
want,0.0062,0
make,0.0045,0
few,0.0105,0
photos,0.0071,0
available,0.0344,0
put,0.0603,0
give,0.0756,0
face,0.0063,0
visitors,0.0451,0
can,0.0112,0
Inky,1.198,0
Octopus,0.0827,0
Escapes,0.2887,0
Aquarium,0.0449,0
An,0.0598,0
octopus,0.0065,0
has,0.0092,0
made,0.0035,0
brazen,0.0257,0
escape,0.0146,0
National,0.0789,0
New,0.0837,0
Zealand,1.7807,0
breaking,0.0784,0
its,0.018,0
tank,0.0108,0
slithering,0.0381,0
meter,0.0083,0
drainpipe,0.3391,0
disappearing,0.0283,0
In,1.4998,0
scenes,0.0136,0
reminiscent,0.0325,0
Finding,0.2667,0
Nemo,0.0696,0
common,0.0965,0
dash,0.0059,0
lid,1.0678,0
accidentally,1.0035,0
left,0.1247,0
slightly,0.0531,0
ajar,0.0128,0
Staff,0.0747,0
middle,0.0171,0
night,0.0299,0
aquarium,0.1609,0
deserted,0.0219,0
clambered,0.0258,0
top,0.0055,0
glass,0.0444,0
enclosure,0.0126,0
side,0.0039,0
floor,0.0088,0
Rob,0.3613,0
Yarrell,0.2042,0
national,0.0456,0
manager,0.029,0
Napier,0.0854,0
Octopuses,0.1224,0
famous,0.006,0
artists,0.0103,0
don,0.0095,0
unhappy,0.1326,0
us,0.0056,0
or,0.0071,0
lonely,0.0181,0
octopuses,0.0185,0
solitary,0.0046,0
creatures,0.0127,0
such,0.0051,0
curious,0.0164,0
boy,0.0087,0
know,0.0068,0
happening,0.1471,0
outside,0.0088,0
That,1.295,0
just,0.0201,0
personality,0.0586,0
One,0.0691,0
theory,0.0155,0
slid,0.0041,0
journey,0.0317,0
three,0.5762,0
four,0.0025,0
meters,0.0119,0
sensing,0.022,0
hand,0.0077,0
led,0.412,0
directly,0.0066,0
long,0.1421,0
opened,0.0117,0
onto,0.0134,0
waters,0.0062,0
Hawke,0.0528,0
Bay,0.027,0
east,0.0313,0
coast,0.0069,0
North,0.0681,0
Island,1.2363,0
Another,0.0392,0
possible,0.0118,0
route,0.0032,0
involved,0.0379,0
squeezing,0.0352,0
an,0.0959,0
pipe,0.0432,0
under,0.0066,0
drain,0.0046,0
When,0.0783,0
we,0.0266,0
next,0.018,0
morning,0.0137,0
empty,0.0161,0
really,0.0087,0
surprised,0.0151,0
launched,0.0331,0
search,0.0111,0
staff,0.0124,0
pretty,0.0338,0
sad,0.0018,0
always,0.0406,0
bit,0.0073,0
surprise,0.0099,0
Reiss,0.3576,0
Jenkinson,1.1468,0
exhibits,0.0736,0
keeper,0.0619,0
absolutely,0.0369,0
certain,0.0162,0
taken,0.0441,0
understand,0.0166,0
behavior,0.0758,0
well,0.0125,0
seen,0.0626,0
boats,0.0109,0
slip,0.0138,0
through,0.011,0
bilge,0.7603,0
pumps,0.0057,0
And,0.0421,0
security,0.005,0
here,0.0086,0
tight,0.0281,0
anyone,0.1214,0
why,0.0051,0
they,0.0036,0
Because,0.0238,0
no,0.0888,0
bones,0.0136,0
able,0.0125,0
fit,0.0039,0
small,0.0287,0
spaces,0.0044,0
filmed,0.0101,0
gaps,0.009,0
size,0.0144,0
coins,0.0049,0
They,0.5264,0
understood,0.7274,0
intelligent,0.0517,0
capable,0.0136,0
using,0.7314,0
tools,0.0084,0
At,0.062,0
Marine,0.0572,0
Education,0.1834,0
Center,0.0779,0
Wellington,0.2924,0
habit,0.0525,0
visiting,0.0521,0
another,0.0151,0
overnight,0.0386,0
steal,0.0057,0
crabs,0.004,0
returning,0.0142,0
own,0.0116,0
center,0.0261,0
Ozymandias,1.7245,0
thought,0.0077,0
broken,0.016,0
record,0.0051,0
opening,0.0151,0
jar,0.0142,0
released,0.0163,0
brought,0.0147,0
number,0.0195,0
ago,0.3121,0
local,0.0107,0
him,0.0134,0
caught,0.0686,0
crayfish,0.4457,0
pot,0.0289,0
scarred,0.0145,0
rough,0.0466,0
looking,0.0133,0
living,0.4403,0
reef,0.0342,0
fighting,0.1459,0
fish,0.0454,0
wasn,0.022,0
best,0.0193,0
shape,0.0055,0
According,0.0848,0
rugby,0.4541,0
ball,0.0151,0
unusually,0.0245,0
friendly,0.069,0
inquisitive,1.2085,0
popular,0.0144,0
attraction,0.013,0
Blotchy,0.0272,0
smaller,0.0691,0
than,0.0198,0
plans,0.0968,0
step,0.0111,0
up,0.6325,0
result,0.012,0
one,0.0115,0
increasingly,0.0872,0
aware,0.0097,0
actually,0.0193,0
do,0.0085,0
Although,0.1382,0
actively,0.0127,0
searching,0.0207,0
replacement,0.0449,0
if,0.0262,0
might,0.016,0
willing,0.0159,0
Japan,0.5014,0
Calls,0.0469,0
Time,0.2253,0
Long,0.1466,0
Hours,0.071,0
Work,0.0556,0
Culture,0.1456,0
regulation,0.1364,0
eight,0.0107,0
hours,0.0245,0
office,0.0125,0
over,0.0685,0
most,0.0143,0
important,0.0332,0
work,0.0039,0
day,0.0032,0
whatever,0.0282,0
wait,0.0043,0
This,1.128,0
point,0.028,0
workers,0.0159,0
heading,0.0186,0
Yet,0.1833,0
millions,0.0402,0
Japanese,0.5344,0
employees,0.7291,0
clearing,0.0123,0
away,0.0142,0
their,0.005,0
desks,0.0045,0
being,0.5986,0
dinner,0.716,0
enough,0.0366,0
invite,0.0219,0
accusations,0.0374,0
disloyalty,0.3735,0
company,0.2664,0
decades,0.0072,0
giving,0.1835,0
companies,0.0603,0
carte,0.0027,0
blanche,0.024,0
milk,0.0085,0
every,0.0846,0
last,0.028,0
drop,0.0039,0
productivity,1.321,0
workforce,0.0976,0
challenge,0.1241,0
ingrained,0.0219,0
overwork,0.1239,0
government,0.0299,0
considering,0.0285,0
making,0.0128,0
legal,0.033,0
requirement,0.0924,0
least,0.0204,0
five,0.0257,0
days,0.0044,0
paid,0.0218,0
holiday,0.0235,0
year,0.008,0
currently,0.061,0
entitled,0.0347,0
average,0.0823,0
only,0.0115,0
fewer,0.0096,0
global,0.0216,0
minimum,0.0136,0
ten,0.0151,0
holidays,0.0696,0
reality,0.0043,0
even,0.4069,0
close,0.0071,0
taking,0.0373,0
quota,0.6139,0
typically,0.0482,0
nine,0.0203,0
entitlement,0.1481,0
While,0.0706,0
British,0.0477,0
regard,0.0096,0
week,0.3922,0
summer,0.013,0
inalienable,0.1386,0
right,0.0135,0
vacation,0.0113,0
height,0.0149,0
self,0.012,0
indulgence,0.0692,0
move,0.0217,0
debated,0.0081,0
current,0.0133,0
parliamentary,0.9056,0
session,0.0084,0
comes,0.0607,0
started,0.0132,0
encouraging,0.0337,0
nap,0.0211,0
job,0.0285,0
improve,0.0113,0
performance,0.0343,0
By,0.1307,0
end,0.0247,0
decade,0.0042,0
passed,0.0075,0
law,0.0791,0
push,0.0158,0
towards,0.0166,0
following,0.0195,0
example,0.0213,0
set,0.0065,0
use,0.0069,0
annual,0.0189,0
leave,0.0274,0
those,0.0052,0
France,0.0502,0
unforgiving,0.0611,0
may,0.0059,0
helped,0.0105,0
turn,0.007,0
economic,0.0343,0
superpower,0.1875,0
corporate,0.0146,0
foot,0.0048,0
soldiers,0.0251,0
revered,0.0303,0
commitment,0.1129,0
often,0.01,0
exclusion,0.0265,0
everything,0.0564,0
else,0.0363,0
low,0.0669,0
birth,0.0174,0
rate,0.0029,0
predictions,0.0394,0
rapid,0.0066,0
population,0.0191,0
decline,0.0115,0
partly,0.0126,0
blamed,0.0193,0
lack,0.0209,0
couples,0.0078,0
start,0.0057,0
families,0.0467,0
More,0.0595,0
falling,0.0321,0
ill,0.3419,0
stress,0.0254,0
worse,0.0049,0
succumbing,0.0286,0
karoshi,0.1049,0
death,0.0067,0
studies,0.0097,0
suggesting,0.0827,0
longer,0.0408,0
workshop,0.0524,0
factory,0.0033,0
necessarily,0.4387,0
people,0.0096,0
productive,0.013,0
today,0.0056,0
