target,entropy,surprisal
Year,0.084,0
Old,0.1135,0
Bottle,0.0227,0
Message,0.0888,0
Angela,0.0209,0
Erdmann,0.1696,0
never,0.0044,0
knew,0.0039,0
her,0.0065,0
grandfather,0.1069,0
He,0.0418,0
died,0.0016,0
in,0.0717,0
six,0.016,0
years,0.0044,0
before,0.0032,0
she,0.002,0
was,0.0051,0
born,0.0029,0
But,0.0284,0
on,0.0068,0
Tuesday,0.0784,0
April,0.0334,0
described,0.0049,0
the,0.0025,0
extraordinary,0.0727,0
moment,0.0027,0
when,0.0039,0
received,0.0034,0
a,0.0431,0
message,0.0034,0
bottle,0.0037,0
after,0.0027,0
he,0.019,0
had,0.0029,0
lobbed,0.0103,0
it,0.0014,0
into,0.0012,0
Baltic,0.0214,0
Sea,0.0606,0
Thought,0.0669,0
to,0.015,0
be,0.0119,0
world,0.0041,0
s,0.0034,0
oldest,0.0019,0
presented,0.0055,0
by,0.0062,0
museum,0.0076,0
that,0.0013,0
is,0.0021,0
now,0.0035,0
exhibiting,0.041,0
Germany,0.0281,0
It,1.2999,0
very,0.0044,0
surprising,0.0059,0
said,0.0016,0
recalling,0.0072,0
how,0.0039,0
found,0.0032,0
out,0.0033,0
about,0.0048,0
A,1.0257,0
man,0.0072,0
stood,0.0556,0
at,0.0075,0
my,0.0025,0
door,0.0028,0
and,0.0024,0
told,0.0014,0
me,0.0032,0
post,0.0021,0
from,0.0025,0
then,0.0017,0
been,0.0029,0
name,0.0033,0
card,0.001,0
of,0.0112,0
Her,0.0247,0
visitor,0.0036,0
genealogical,0.0288,0
researcher,0.005,0
who,0.0055,0
managed,0.0018,0
track,0.0018,0
down,0.0028,0
Berlin,0.0198,0
letter,0.0039,0
given,0.0038,0
International,1.1777,0
Maritime,0.0739,0
Museum,0.0626,0
northern,0.0034,0
port,0.0024,0
city,0.0048,0
Hamburg,0.0505,0
The,0.0573,0
brown,0.0035,0
beer,0.0029,0
which,0.0031,0
water,0.0034,0
for,0.0043,0
catch,0.0014,0
Konrad,0.154,0
Fischer,0.0193,0
fisherman,0.0048,0
off,0.0318,0
Kiel,0.1716,0
Holger,0.0247,0
von,0.0037,0
Neuhoff,0.1546,0
curator,0.0018,0
ocean,0.0024,0
science,0.0028,0
this,0.0009,0
bottled,0.0034,0
come,0.0032,0
across,0.0542,0
There,0.0521,0
are,0.0024,0
documents,0.0076,0
have,0.0035,0
without,0.0035,0
older,0.0029,0
with,0.0052,0
document,0.0047,0
certainly,0.0051,0
extremely,0.1083,0
good,0.0042,0
condition,0.0039,0
Researchers,0.0405,0
believe,0.0064,0
Richard,0.0199,0
Platz,0.0421,0
threw,0.0023,0
sea,0.0027,0
while,0.0036,0
hike,0.0058,0
nature,0.0033,0
appreciation,0.0204,0
group,0.0072,0
old,0.0029,0
time,0.0139,0
Much,0.03,0
postcard,0.002,0
indecipherable,0.8701,0
although,0.0037,0
address,0.2271,0
front,0.0023,0
legible,0.0085,0
as,0.0021,0
author,0.003,0
polite,0.004,0
request,0.0107,0
note,0.0032,0
sent,0.0015,0
finder,0.0036,0
his,0.0044,0
home,0.0043,0
also,0.0041,0
included,0.0035,0
two,0.0055,0
stamps,0.0019,0
were,0.0035,0
so,0.003,0
would,0.0058,0
not,0.0046,0
incur,0.0033,0
cost,0.0008,0
did,0.0008,0
think,0.0032,0
take,0.0024,0
She,0.0426,0
moved,0.0038,0
arrival,0.0037,0
known,0.0048,0
because,0.0065,0
age,0.0022,0
I,1.6525,0
little,0.008,0
but,0.0023,0
writer,0.0037,0
open,0.0038,0
minded,0.0016,0
believed,0.0054,0
freedom,0.0057,0
everyone,0.0081,0
should,0.0058,0
respect,0.0153,0
each,0.0037,0
other,0.0022,0
lot,0.0132,0
young,0.0042,0
later,0.0049,0
traveled,0.0074,0
wife,0.0061,0
daughters,0.0113,0
wonderful,0.0356,0
could,0.004,0
see,0.0032,0
where,0.0034,0
roots,0.003,0
came,0.0025,0
Like,0.0157,0
liked,0.0044,0
culture,0.0059,0
traveling,0.0034,0
around,0.0035,0
herself,0.0127,0
too,0.0023,0
What,0.0344,0
taught,0.0031,0
mother,0.0024,0
sons,0.0013,0
Despite,0.0513,0
joy,0.0116,0
receiving,0.0039,0
hoped,0.0034,0
others,0.002,0
repeat,0.0044,0
what,0.003,0
done,0.0023,0
throw,0.0019,0
bottles,0.0107,0
messages,0.0074,0
Today,0.0606,0
full,0.0049,0
many,0.004,0
rubbish,0.0381,0
more,0.0037,0
shouldn,0.0044,0
t,0.001,0
thrown,0.0023,0
there,0.0024,0
will,0.0082,0
display,0.0024,0
until,0.0061,0
beginning,0.2749,0
May,0.0332,0
experts,0.0205,0
attempt,0.0046,0
decipher,0.0033,0
rest,0.0021,0
text,0.0175,0
clear,0.0028,0
happen,0.0049,0
hopes,0.0042,0
stay,0.005,0
We,0.0902,0
want,0.0029,0
make,0.0033,0
few,0.0033,0
photos,0.0019,0
available,0.0126,0
put,0.0022,0
give,0.0037,0
face,0.0027,0
visitors,0.0057,0
can,0.0011,0
Inky,0.7019,0
Octopus,0.1853,0
Escapes,0.0237,0
Aquarium,0.0432,0
An,0.0453,0
octopus,0.0046,0
has,0.003,0
made,0.0026,0
brazen,0.0123,0
escape,0.0085,0
National,0.0443,0
New,0.0362,0
Zealand,1.4958,0
breaking,0.0041,0
its,0.0009,0
tank,0.003,0
slithering,0.0051,0
meter,0.0032,0
drainpipe,0.0267,0
disappearing,0.7681,0
In,1.2564,0
scenes,0.0098,0
reminiscent,0.0041,0
Finding,0.02,0
Nemo,0.0385,0
common,0.0024,0
dash,0.0013,0
lid,0.0033,0
accidentally,0.9899,0
left,0.0158,0
slightly,0.0111,0
ajar,0.0075,0
Staff,0.0633,0
middle,0.006,0
night,0.0019,0
aquarium,0.0144,0
deserted,0.0035,0
clambered,0.0248,0
top,0.0011,0
glass,0.0048,0
enclosure,0.0081,0
side,0.0025,0
floor,0.0197,0
Rob,0.0136,0
Yarrell,0.109,0
national,0.0023,0
manager,0.003,0
Napier,0.0348,0
Octopuses,0.4886,0
famous,0.0044,0
artists,0.0132,0
don,0.0018,0
unhappy,0.0425,0
us,0.0218,0
or,0.0161,0
lonely,0.0064,0
octopuses,0.0226,0
solitary,0.0032,0
creatures,0.0076,0
such,0.002,0
curious,0.0034,0
boy,0.0036,0
know,0.0037,0
happening,0.041,0
outside,0.003,0
That,0.0519,0
just,0.0071,0
personality,0.06,0
One,0.1941,0
theory,0.0025,0
slid,0.0012,0
journey,0.0137,0
three,0.1068,0
four,0.0044,0
meters,0.0026,0
sensing,0.0014,0
hand,0.0024,0
led,0.0106,0
directly,0.0066,0
long,0.0034,0
opened,0.0062,0
onto,0.0019,0
waters,0.0025,0
Hawke,0.0278,0
Bay,0.0295,0
east,0.0037,0
coast,0.0012,0
North,0.029,0
Island,0.4851,0
Another,0.0321,0
possible,0.0064,0
route,0.0044,0
involved,0.0032,0
squeezing,0.2061,0
an,0.0066,0
pipe,0.0051,0
under,0.0037,0
drain,0.0014,0
When,0.0281,0
we,0.0189,0
next,0.016,0
morning,0.0018,0
empty,0.0053,0
really,0.0049,0
surprised,0.0058,0
launched,0.0074,0
search,0.0017,0
staff,0.049,0
pretty,0.0048,0
sad,0.001,0
always,0.0045,0
bit,0.0045,0
surprise,0.0058,0
Reiss,0.0129,0
Jenkinson,0.1803,0
exhibits,0.0139,0
keeper,0.0138,0
absolutely,0.0428,0
certain,0.0016,0
taken,0.0024,0
understand,0.0092,0
behavior,0.005,0
well,0.0067,0
seen,0.0024,0
boats,0.002,0
slip,0.0012,0
through,0.0042,0
bilge,0.0068,0
pumps,0.0026,0
And,0.0236,0
security,0.0056,0
here,0.0039,0
tight,0.001,0
anyone,0.0044,0
why,0.0061,0
they,0.009,0
Because,0.0266,0
no,0.0109,0
bones,0.0041,0
able,0.0038,0
fit,0.0052,0
small,0.0368,0
spaces,0.0032,0
filmed,0.0107,0
gaps,0.0025,0
size,0.0083,0
coins,0.0017,0
They,0.0508,0
understood,0.7438,0
intelligent,0.0161,0
capable,0.0049,0
using,0.0038,0
tools,0.0031,0
At,0.1051,0
Marine,0.03,0
Education,0.0262,0
Center,0.0287,0
Wellington,0.0556,0
habit,0.0035,0
visiting,0.0052,0
another,0.002,0
overnight,0.0041,0
steal,0.0033,0
crabs,0.003,0
returning,0.0077,0
own,0.0061,0
center,0.0014,0
Ozymandias,1.382,0
thought,0.0038,0
broken,0.0047,0
record,0.0023,0
opening,0.0045,0
jar,0.0079,0
released,0.0048,0
brought,0.0046,0
number,0.0052,0
ago,0.0022,0
local,0.0071,0
him,0.0032,0
caught,0.003,0
crayfish,0.1256,0
pot,0.0025,0
scarred,0.0291,0
rough,0.0034,0
looking,0.0059,0
living,0.0061,0
reef,0.0252,0
fighting,0.0026,0
fish,0.0038,0
wasn,0.0036,0
best,0.0019,0
shape,0.0077,0
According,0.0282,0
rugby,0.0085,0
ball,0.0029,0
unusually,0.1473,0
friendly,0.0129,0
inquisitive,0.0342,0
popular,0.005,0
attraction,0.0071,0
Blotchy,0.0186,0
smaller,0.0192,0
than,0.0015,0
plans,0.0027,0
step,0.0015,0
up,0.024,0
result,0.0041,0
one,0.0048,0
increasingly,0.2465,0
aware,0.0021,0
actually,0.2419,0
do,0.0024,0
Although,0.0348,0
actively,0.0068,0
searching,0.0045,0
replacement,0.0138,0
if,1.1924,0
might,0.002,0
willing,0.0054,0
Japan,0.337,0
Calls,0.0312,0
Time,0.0521,0
Long,0.0137,0
Hours,0.023,0
Work,0.0357,0
Culture,0.0318,0
regulation,0.0053,0
eight,0.0025,0
hours,0.0037,0
office,0.0048,0
over,0.0043,0
most,0.0029,0
important,0.0057,0
work,0.0039,0
day,0.0019,0
whatever,0.0054,0
wait,0.0039,0
This,0.0525,0
point,0.0018,0
workers,0.0043,0
heading,0.0025,0
Yet,0.0965,0
millions,0.0051,0
Japanese,0.1721,0
employees,0.4543,0
clearing,0.0019,0
away,0.0031,0
their,0.0023,0
desks,0.0024,0
being,0.0023,0
dinner,0.013,0
enough,0.0041,0
invite,0.0032,0
accusations,0.0066,0
disloyalty,0.03,0
company,0.0088,0
decades,0.0043,0
giving,0.0027,0
companies,0.0174,0
carte,0.0015,0
blanche,0.0028,0
milk,0.0047,0
every,0.0051,0
last,0.0029,0
drop,0.0014,0
productivity,0.1473,0
workforce,0.0165,0
challenge,0.0317,0
ingrained,0.0074,0
overwork,0.0056,0
government,0.0191,0
considering,0.0134,0
making,0.0024,0
legal,0.0065,0
requirement,0.0846,0
least,0.0031,0
five,0.0057,0
days,0.0024,0
paid,0.0024,0
holiday,0.0037,0
year,0.0048,0
currently,0.0406,0
entitled,0.0048,0
average,0.0039,0
only,0.003,0
fewer,0.0033,0
global,0.0044,0
minimum,0.0053,0
ten,0.0019,0
holidays,0.004,0
reality,0.0044,0
even,0.0063,0
close,0.0067,0
taking,0.0025,0
quota,0.033,0
typically,0.087,0
nine,0.0039,0
entitlement,0.0164,0
While,0.0287,0
British,0.0185,0
regard,0.0024,0
week,0.0057,0
summer,0.0035,0
inalienable,0.0404,0
right,0.0018,0
vacation,0.0058,0
height,0.0022,0
self,0.0091,0
indulgence,0.0128,0
move,0.004,0
debated,0.0033,0
current,0.0072,0
parliamentary,0.0996,0
session,0.0024,0
comes,0.0073,0
started,0.0018,0
encouraging,0.0402,0
nap,0.0022,0
job,0.0088,0
improve,0.0048,0
performance,0.0353,0
By,0.035,0
end,0.0089,0
decade,0.0041,0
passed,0.0019,0
law,0.0043,0
push,0.0022,0
towards,0.0019,0
following,0.0073,0
example,0.019,0
set,0.0029,0
use,0.0101,0
annual,0.0059,0
leave,0.0045,0
those,0.007,0
France,0.019,0
unforgiving,0.0309,0
may,0.0044,0
helped,0.0043,0
turn,0.0029,0
economic,0.0024,0
superpower,0.0316,0
corporate,0.006,0
foot,0.0031,0
soldiers,0.0062,0
revered,0.0047,0
commitment,0.0071,0
often,0.0025,0
exclusion,0.0174,0
everything,0.0132,0
else,0.0062,0
low,0.003,0
birth,0.0021,0
rate,0.0025,0
predictions,0.0063,0
rapid,0.0025,0
population,0.0236,0
decline,0.0037,0
partly,0.0027,0
blamed,0.005,0
lack,0.0053,0
couples,0.0071,0
start,0.001,0
families,0.0347,0
More,0.0238,0
falling,0.0036,0
ill,0.1462,0
stress,0.7063,0
